Unit Name,Current Guesty Tags,CITY,PMC-INFORMATION,PROPERTY-EMAIL,VILLA NET DESTINATION TAG,VILLA NET PROPERTY MANAGER NAME,VILLA NET PARTNER RESERVATION EMAIL,VILLA NET RANK,VILLA NET COMMISSION RATE,VILLA NET EXCLUSIVE UNITS MANAGED,VILLA NET YEARS IN BUSINESS,VILLA NET AVG RESPONSE TIME HOURS,VILLA NET CALENDAR SYNC 99,VILLA NET CREDIT CARD ACCEPTED,VILLA NET INSURED,VILLA NET BANK TRANSFER ACCEPTED,VILLA NET STANDARDIZED HOUSEKEEPING,VILLA NET STAFF GRATUITY GUIDELINE,VILLA NET GATED COMMUNITY,VILLA NET GOLF VILLA,VILLA NET RESORT VILLA,VILLA NET RESORT COLLECTION NAME,VILLA NET CHEF INCLUDED,VILLA NET TRUE BEACH FRONT,VILLA NET COOK INCLUDED,VILLA NET WAITER BUTLER INCLUDED,VILLA NET OCEAN FRONT,VILLA NET OCEAN VIEW,VILLA NET WALK TO BEACH,VILLA NET ACCESSIBLE,VILLA NET PRIVATE GYM,VILLA NET PRIVATE CINEMA,VILLA NET PICKLEBALL,VILLA NET TENNIS,VILLA NET GOLF CART INCLUDED,VILLA NET HEATED POOL
Villa Jade,"Mita Residential, Punta Mita",Punta Mita,Mita Residential,oscar.buenfil@mitaresidential.com,"Punta Mita, Mexico",Mita Residential,rentals@mitaresidential.com,9.2,12,97,20,4,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no
Villa Marlago,"Mita Residential, Punta Mita",Punta Mita,Mita Residential,oscar.buenfil@mitaresidential.com,"Punta Mita, Mexico",Mita Residential,rentals@mitaresidential.com,9.2,12,97,20,4,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,yes,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,no
Villa Onix,"Mita Residential, Punta Mita",Punta Mita,Mita Residential,oscar.buenfil@mitaresidential.com,"Punta Mita, Mexico",Mita Residential,rentals@mitaresidential.com,9.2,12,97,20,4,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,yes,no,no,yes,no,yes,yes,yes,no
Villa Perla,"Mita Residential, Punta Mita",Punta Mita,Mita Residential,oscar.buenfil@mitaresidential.com,"Punta Mita, Mexico",Mita Residential,rentals@mitaresidential.com,9.2,12,97,20,4,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,yes,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,no
Villa Rincon del Mar,"Mita Residential, Punta Mita",Punta Mita,Mita Residential,oscar.buenfil@mitaresidential.com,"Punta Mita, Mexico",Mita Residential,rentals@mitaresidential.com,9.2,12,97,20,4,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,yes,no,no,yes,no,yes,yes,yes,yes
Villa Tamayo,"Mita Residential, Punta Mita",Punta Mita,Mita Residential,oscar.buenfil@mitaresidential.com,"Punta Mita, Mexico",Mita Residential,rentals@mitaresidential.com,9.2,12,97,20,4,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,yes,no,no,yes,no,yes,yes,yes,no
Villa Tranquila,"Mita Residential, Punta Mita",Punta Mita,Mita Residential,oscar.buenfil@mitaresidential.com,"Punta Mita, Mexico",Mita Residential,rentals@mitaresidential.com,9.2,12,97,20,4,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes
Villa Turquesa,"Mita Residential, Punta Mita",Punta Mita,Mita Residential,oscar.buenfil@mitaresidential.com,"Punta Mita, Mexico",Mita Residential,rentals@mitaresidential.com,9.2,12,97,20,4,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no
Vista Hermosa,"Mita Residential, Punta Mita",Punta Mita,Mita Residential,oscar.buenfil@mitaresidential.com,"Punta Mita, Mexico",Mita Residential,rentals@mitaresidential.com,9.2,12,97,20,4,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
Villa Pacifica 7BR,"Owner Direct, Punta Mita",Punta de Mita,Pacifica,clucano@jccasas.com,"Punta Mita, Mexico",Villa Pacifica,clucano@jccasas.com,9.2,12,2,10,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Casa Dinamita,"Punta Mita, Rentals",Corral del Risco,Punta Mita Rentals,christophe.villat@puntamitarentals.com,"Punta Mita, Mexico",Punta Mita Rentals,reservations@puntamitarentals.com,9.7,12,16,5,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Cazadores -Palmas 13,"Punta Mita, Rentals",Punta Mita,Punta Mita Rentals,christophe.villat@puntamitarentals.com,"Punta Mita, Mexico",Punta Mita Rentals,reservations@puntamitarentals.com,9.7,12,16,5,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Encanto 1021,"Punta Mita, Rentals",Corral del Risco,Punta Mita Rentals,christophe.villat@puntamitarentals.com,"Punta Mita, Mexico",Punta Mita Rentals,reservations@puntamitarentals.com,9.7,12,16,5,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Encanto 401,"Punta Mita, Rentals",Corral del Risco,Punta Mita Rentals,christophe.villat@puntamitarentals.com,"Punta Mita, Mexico",Punta Mita Rentals,reservations@puntamitarentals.com,9.7,12,16,5,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Encanto 602 Marquesa,"Punta Mita, Rentals",Punta Mita,Punta Mita Rentals,christophe.villat@puntamitarentals.com,"Punta Mita, Mexico",Punta Mita Rentals,reservations@puntamitarentals.com,9.7,12,16,5,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Encanto 821,"Punta Mita, Rentals",Corral del Risco,Punta Mita Rentals,christophe.villat@puntamitarentals.com,"Punta Mita, Mexico",Punta Mita Rentals,reservations@puntamitarentals.com,9.7,12,16,5,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Hacienda de Mita 705,"Punta Mita, Rentals",Corral del Risco,Punta Mita Rentals,christophe.villat@puntamitarentals.com,"Punta Mita, Mexico",Punta Mita Rentals,reservations@puntamitarentals.com,9.7,12,16,5,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Porta Fortuna 6,"Punta Mita, Rentals",Punta Villela,Punta Mita Rentals,christophe.villat@puntamitarentals.com,"Punta Mita, Mexico",Punta Mita Rentals,reservations@puntamitarentals.com,9.7,12,16,5,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Surf Residences 211,"Punta Mita, Rentals",Corral del Risco,Punta Mita Rentals,christophe.villat@puntamitarentals.com,"Punta Mita, Mexico",Punta Mita Rentals,reservations@puntamitarentals.com,9.7,12,16,5,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Surf Residences 221,"Punta Mita, Rentals",Corral del Risco,Punta Mita Rentals,christophe.villat@puntamitarentals.com,"Punta Mita, Mexico",Punta Mita Rentals,reservations@puntamitarentals.com,9.7,12,16,5,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Surf Residences 312,"Punta Mita, Rentals",Corral del Risco,Punta Mita Rentals,christophe.villat@puntamitarentals.com,"Punta Mita, Mexico",Punta Mita Rentals,reservations@puntamitarentals.com,9.7,12,16,5,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Surf Residences 321,"Punta Mita, Rentals",Corral del Risco,Punta Mita Rentals,christophe.villat@puntamitarentals.com,"Punta Mita, Mexico",Punta Mita Rentals,reservations@puntamitarentals.com,9.7,12,16,5,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Tau 131,"Punta Mita, Rentals",Punta Villela,Punta Mita Rentals,christophe.villat@puntamitarentals.com,"Punta Mita, Mexico",Punta Mita Rentals,reservations@puntamitarentals.com,9.7,12,16,5,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Tau 612,"Punta Mita, Rentals",Punta Villela,Punta Mita Rentals,christophe.villat@puntamitarentals.com,"Punta Mita, Mexico",Punta Mita Rentals,reservations@puntamitarentals.com,9.7,12,16,5,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Terrazas P23,"Punta Mita, Rentals",Punta Mita,Punta Mita Rentals,christophe.villat@puntamitarentals.com,"Punta Mita, Mexico",Punta Mita Rentals,reservations@puntamitarentals.com,9.7,12,16,5,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Vaiven,"Punta Mita, Rentals",Punta Mita,Punta Mita Rentals,christophe.villat@puntamitarentals.com,"Punta Mita, Mexico",Punta Mita Rentals,reservations@puntamitarentals.com,9.7,12,16,5,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Estate Elementos,"Mita Residential, Punta Mita",Punta Villela,Mita Residential,manager@casadeelementos.com,"Punta MIta, Mexico",Mita Residential,rentals@mitaresidential.com,9.2,12,97,20,4,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,yes,no
"Arboles,Terrazas P21","Vallarta Rentals, Punta Mita",Punta Mita,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Casa Bahia,"Vallarta Rentals, Punta Mita",Punta Mita,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Casa de las Aves,"Vallarta Rentals, Mexico",Punta Villela,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Casa Rayo Del Sol,"Vallarta Rentals, Punta Mita",Punta Mita,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Casa Sabba LP15,"Vallarta Rentals, Punta Mita",Punta Mita,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
"Casa Solé,El Encanto","Vallarta Rentals, Punta Mita",Punta Mita,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Condo Allegria F101,"Vallarta Rentals, Punta Mita",Punta Villela,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Condo Bahia B22,"Vallarta Rentals, Punta Mita",Punta Mita,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Condo Cualli 121,"Vallarta Rentals, Punta Mita", ,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Lagos 11,"Vallarta Rentals, Punta Mita",Punta Mita,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Lagos 16,"Vallarta Rentals, Punta Mita",Punta Mita,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Las Palmas 5,"Vallarta Rentals, Punta Mita",Punta Mita,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Marietas D101,"Vallarta Rentals, Punta Mita",Nayarit,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Ocaso Lindo E101,"Vallarta Rentals, Punta Mita",Nayarit,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Serena / Lagos 30,"Vallarta Rentals, Punta Mita",Punta Mita,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Serenata 3,"Vallarta Rentals, Punta Mita",Punta Mita,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Serenata 6,"Vallarta Rentals, Punta Mita",Punta Mita,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Tau 621,"Vallarta Rentals, Punta Mita", ,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Tau Tower 4 - 412,"Vallarta Rentals, Punta Mita", ,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Tau Tower 5 - 512,"Vallarta Rentals, Punta Mita",Corral del Risco,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Villa Diez,"Vallarta Rentals, Punta Mita",Punta Mita,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Villa Libre - LP22,"Vallarta Rentals, Punta Mita",Punta Mita,Vallarta Rentals,rentals@vallartarentals.com,"Punta Mita, Mexico",Vallarta Rentals,rentals@vallartarentals.com,9.2,12,22,10,4,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Punta Mita Resort,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Casa Majani,"Maya Luxe, Mexico", ,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Playaakun,"Maya Luxe, Mexico", ,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Naiik 4BR,"Maya Luxe, Mexico", ,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bellamar 13BR,"Maya Luxe, Mexico",Akumal,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Milah,"Maya Luxe, Mexico",Akumal,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Ikal 4BR,"Maya Luxe, Mexico",Boca Paila,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Maya Ka'an,"Maya Luxe, Mexico",Boca Paila,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Uh Kaay,"Maya Luxe, Mexico",Boca Paila,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Yakunah,"Maya Luxe, Mexico",Campechen,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Hacienda Chekul 4B 8,"Maya Luxe, Mexico",Campechen,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bianca - Cancun,"Maya Luxe, Mexico",Cancún,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Blanca Beach House,"Maya Luxe, Mexico",Cancún,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Casazul,"Maya Luxe, Mexico",Cancún,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Sha 5BR,"Maya Luxe, Mexico",Cancún,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Sha 6BR,"Maya Luxe, Mexico",Cancún,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Palacio de Mar,"Maya Luxe, Mexico",Caracol,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Corona,"Maya Luxe, Mexico",Caracol,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Koko 9BR,"Maya Luxe, Mexico",Corral del Risco,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Ceiba 7BR MEX,"Maya Luxe, Mexico",Costa Careyes,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Las Quimeras 6B,"Maya Luxe, Mexico",Costa Careyes,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Marisol 4BR,"Maya Luxe, Mexico",Costa Careyes,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Torre,"Maya Luxe, Mexico",Costa Careyes,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Beach House-Playacar,"Maya Luxe, Mexico",Playa del Carmen,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Clara,"Maya Luxe, Mexico",Playa del Carmen,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Corazon 11BR,"Maya Luxe, Mexico",Playa del Carmen,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Gigi,"Maya Luxe, Mexico",Playa del Carmen,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Los Charcos,"Maya Luxe, Mexico",Playa del Carmen,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Nikki,"Maya Luxe, Mexico",Playa del Carmen,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Sirenus,"Maya Luxe, Mexico",Playa del Carmen,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Estrella del Mar 4BR,"Maya Luxe, Mexico",Playa del Carmen,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Hermosa 8BR,"Maya Luxe, Mexico",Playa del Carmen,Maya Luxe,rosemarie@mayaluxe.com,"Riviera Maya, Mexico",Maya Luxe,agents@mayaluxe.com,9.2,12,87,14,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
